edges,edge_labels,query_edge,query_label,story_id
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (3, 4), (3, 7), (5, 2), (4, 6), (4, 2), (2, 2), (4, 1), (4, 2), (5, 3), (0, 6), (2, 2), (5, 0), (1, 5), (0, 6), (3, 3), (2, 4), (0, 0), (6, 6), (1, 1), (2, 2), (4, 4), (0, 6)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'mother_of', 'living_in_same_place', 'grandfather_of', 'is_female', 'living_in_same_place', 'sibling_in_law_of', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'wife_of', 'uncle_of', 'sister_of', 'is_underage', 'mother_in_law_of', 'no_brothers', 'is_underage', 'is_underage', 'no_brothers', 'no_daughters', 'niece_of']","(6, 4)",['living_in_same_place'],10
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (0, 2), (0, 3), (1, 0), (5, 1), (3, 3), (1, 2), (2, 2), (3, 2), (5, 1), (2, 5), (3, 2), (0, 0), (4, 1), (3, 6), (5, 5), (2, 2), (4, 5), (2, 1), (5, 5), (2, 1), (4, 5)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'nibling_of', 'daughter_of', 'sibling_of', 'school_mates_with', 'no_sons', 'grandchild_of', 'is_male', 'daughter_of', 'nephew_of', 'father_of', 'daughter_in_law_of', 'is_underage', 'living_in_same_place', 'living_in', 'no_brothers', 'no_sisters', 'mother_of', 'nephew_of', 'no_sons', 'brother_in_law_of', 'sibling_of']","(1, 1)","['no_brothers', 'is_underage', 'is_female']",15
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (4, 3), (4, 2), (2, 5), (3, 4), (5, 2), (3, 0), (1, 4), (4, 1), (3, 5), (3, 6), (6, 7), (1, 2), (2, 3), (5, 5), (2, 6), (5, 5), (4, 6), (3, 3), (5, 5), (4, 1), (1, 1)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in_same_place', 'son_in_law_of', 'sister_of', 'grandmother_of', 'school_mates_with', 'aunt_of', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'living_in', 'grandchild_of', 'sibling_of', 'no_daughters', 'grandson_of', 'no_sisters', 'sibling_of', 'no_sisters', 'no_brothers', 'child_of', 'no_sisters']","(1, 4)","['aunt_of', 'paternal_aunt_or_uncle_of', 'mother_of', 'maternal_aunt_of', 'parent_of', 'living_in_same_place', 'aunt_or_uncle_of']",35
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (5, 3), (4, 6), (3, 6), (0, 3), (0, 0), (1, 6), (6, 0), (4, 2), (2, 0), (0, 2), (3, 4), (1, 7), (2, 5), (6, 6), (3, 3), (1, 0), (4, 4), (5, 2), (6, 6), (6, 3), (4, 6), (5, 0), (5, 0)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'father_in_law_of', 'living_in_same_place', 'grandfather_of', 'grandparent_of', 'is_female', 'living_in_same_place', 'aunt_or_uncle_of', 'living_in_same_place', 'brother_of', 'living_in_same_place', 'living_in_same_place', 'living_in', 'living_in_same_place', 'is_female', 'no_sons', 'sibling_in_law_of', 'is_underage', 'sibling_in_law_of', 'no_brothers', 'mother_of', 'father_in_law_of', 'grandson_of', 'husband_of']","(2, 7)",['living_in'],6
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (1, 0), (1, 5), (5, 1), (2, 1), (1, 0), (5, 4), (4, 5), (0, 5), (2, 4), (5, 3), (2, 0), (2, 2), (2, 3), (5, 6), (4, 2), (3, 3), (3, 5), (5, 5), (3, 0), (3, 2)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'aunt_of', 'living_in_same_place', 'uncle_of', 'parent_in_law_of', 'grandfather_of', 'living_in_same_place', 'niece_of', 'sibling_of', 'living_in_same_place', 'living_in_same_place', 'no_brothers', 'son_of', 'living_in', 'parent_of', 'is_male', 'brother_in_law_of', 'no_daughters', 'sibling_of', 'husband_of']","(1, 2)","['nibling_of', 'niece_of', 'living_in_same_place']",40
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (1, 5), (4, 3), (3, 6), (3, 5), (1, 4), (4, 4), (3, 5), (3, 3), (4, 3), (2, 3), (5, 5), (0, 3), (0, 3), (1, 2), (5, 3), (0, 3), (1, 0)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'wife_of', 'colleague_of', 'living_in', 'daughter_of', 'sister_in_law_of', 'is_female', 'wife_of', 'no_brothers', 'wife_of', 'aunt_of', 'is_male', 'father_of', 'grandchild_of', 'spouse_of', 'grandson_of', 'living_in_same_place', 'living_in_same_place']","(0, 4)","['living_in_same_place', 'grandchild_of', 'grandson_of', 'father_in_law_of', 'parent_in_law_of']",27
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (3, 4), (3, 7), (5, 2), (4, 6), (4, 2), (2, 2), (4, 1), (4, 2), (5, 3), (0, 6), (2, 2), (5, 0), (1, 5), (0, 6), (3, 3), (2, 4), (0, 0), (6, 6), (1, 1), (2, 2), (4, 4), (0, 6)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'mother_of', 'living_in_same_place', 'grandfather_of', 'is_female', 'living_in_same_place', 'sibling_in_law_of', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'wife_of', 'uncle_of', 'sister_of', 'is_underage', 'mother_in_law_of', 'no_brothers', 'is_underage', 'is_underage', 'no_brothers', 'no_daughters', 'niece_of']","(2, 3)",['living_in_same_place'],10
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 1), (2, 0), (0, 2), (0, 1), (2, 0), (2, 2), (0, 1), (3, 3), (2, 3), (1, 1), (3, 0), (2, 0), (3, 0), (2, 4), (0, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'aunt_of', 'father_of', 'parent_of', 'living_in_same_place', 'brother_of', 'no_daughters', 'sibling_of', 'no_brothers', 'uncle_of', 'is_underage', 'sibling_in_law_of', 'child_in_law_of', 'wife_of', 'living_in', 'uncle_of']","(2, 0)","['father_of', 'brother_of', 'child_in_law_of', 'grandparent_of', 'nibling_of', 'son_in_law_of', 'grandfather_of', 'grandson_of', 'child_of', 'paternal_aunt_or_uncle_of', 'aunt_or_uncle_of', 'parent_of', 'grandchild_of', 'uncle_of', 'son_of', 'living_in_same_place', 'sibling_of', 'paternal_grandparent_of', 'nephew_of']",8
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (0, 1), (2, 3), (3, 4), (4, 2), (4, 6), (5, 0), (5, 4), (0, 5), (4, 0), (3, 0), (3, 0), (2, 4), (5, 1), (5, 5), (1, 1), (3, 3), (1, 3), (0, 0)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'mother_in_law_of', 'father_in_law_of', 'living_in_same_place', 'brother_of', 'living_in', 'brother_of', 'living_in_same_place', 'aunt_or_uncle_of', 'spouse_of', 'living_in_same_place', 'grandchild_of', 'living_in_same_place', 'child_of', 'is_underage', 'is_male', 'is_female', 'father_in_law_of', 'no_daughters']","(4, 2)","['brother_of', 'living_in_same_place', 'sibling_of']",5
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (1, 2), (1, 0), (0, 2), (3, 1), (1, 1), (5, 0), (0, 0), (1, 0), (1, 1), (5, 2), (5, 2), (3, 2), (1, 0), (2, 4), (2, 2), (4, 0), (6, 2), (3, 0), (3, 7), (6, 6), (1, 2), (6, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'sister_in_law_of', 'grandfather_of', 'nephew_of', 'no_sisters', 'parent_of', 'no_sisters', 'wife_of', 'no_daughters', 'wife_of', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'is_male', 'son_of', 'living_in_same_place', 'father_of', 'living_in', 'no_brothers', 'parent_of', 'maternal_aunt_or_uncle_of']","(0, 5)","['parent_in_law_of', 'father_in_law_of', 'living_in_same_place', 'child_of', 'son_of']",4
