edges,edge_labels,query_edge,query_label,story_id
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(3, 1)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(0, 2)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(3, 2)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(3, 0)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(1, 3)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(2, 1)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(0, 1)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(2, 3)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (0, 3), (0, 4), (2, 2), (1, 1), (2, 2), (2, 0), (1, 1), (1, 4), (3, 4), (0, 0), (1, 2), (2, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'is_male', 'is_underage', 'is_underage', 'living_in_same_place', 'no_daughters', 'living_in', 'living_in', 'is_male', 'living_in_same_place', 'living_in']","(1, 0)",['living_in_same_place'],0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 5), (3, 0), (4, 4), (0, 4), (1, 4), (2, 2), (1, 5), (3, 3), (2, 4), (3, 5), (4, 5), (2, 5), (3, 3), (3, 4), (1, 4), (3, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in', 'maternal_grandmother_of', 'is_female', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'living_in', 'is_female', 'son_in_law_of', 'living_in', 'living_in', 'living_in', 'no_sisters', 'living_in_same_place', 'paternal_grandmother_of', 'no_sons']","(4, 0)",['living_in_same_place'],1
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 5), (3, 0), (4, 4), (0, 4), (1, 4), (2, 2), (1, 5), (3, 3), (2, 4), (3, 5), (4, 5), (2, 5), (3, 3), (3, 4), (1, 4), (3, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in', 'maternal_grandmother_of', 'is_female', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'living_in', 'is_female', 'son_in_law_of', 'living_in', 'living_in', 'living_in', 'no_sisters', 'living_in_same_place', 'paternal_grandmother_of', 'no_sons']","(3, 1)",['living_in_same_place'],1
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 5), (3, 0), (4, 4), (0, 4), (1, 4), (2, 2), (1, 5), (3, 3), (2, 4), (3, 5), (4, 5), (2, 5), (3, 3), (3, 4), (1, 4), (3, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in', 'maternal_grandmother_of', 'is_female', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'living_in', 'is_female', 'son_in_law_of', 'living_in', 'living_in', 'living_in', 'no_sisters', 'living_in_same_place', 'paternal_grandmother_of', 'no_sons']","(2, 4)","['son_in_law_of', 'child_in_law_of']",1
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 5), (3, 0), (4, 4), (0, 4), (1, 4), (2, 2), (1, 5), (3, 3), (2, 4), (3, 5), (4, 5), (2, 5), (3, 3), (3, 4), (1, 4), (3, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in', 'maternal_grandmother_of', 'is_female', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'living_in', 'is_female', 'son_in_law_of', 'living_in', 'living_in', 'living_in', 'no_sisters', 'living_in_same_place', 'paternal_grandmother_of', 'no_sons']","(4, 2)","['parent_in_law_of', 'mother_in_law_of']",1
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 5), (3, 0), (4, 4), (0, 4), (1, 4), (2, 2), (1, 5), (3, 3), (2, 4), (3, 5), (4, 5), (2, 5), (3, 3), (3, 4), (1, 4), (3, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in', 'maternal_grandmother_of', 'is_female', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'living_in', 'is_female', 'son_in_law_of', 'living_in', 'living_in', 'living_in', 'no_sisters', 'living_in_same_place', 'paternal_grandmother_of', 'no_sons']","(3, 0)","['maternal_grandmother_of', 'living_in_same_place']",1
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 5), (3, 0), (4, 4), (0, 4), (1, 4), (2, 2), (1, 5), (3, 3), (2, 4), (3, 5), (4, 5), (2, 5), (3, 3), (3, 4), (1, 4), (3, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in', 'maternal_grandmother_of', 'is_female', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'living_in', 'is_female', 'son_in_law_of', 'living_in', 'living_in', 'living_in', 'no_sisters', 'living_in_same_place', 'paternal_grandmother_of', 'no_sons']","(1, 3)",['living_in_same_place'],1
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 5), (3, 0), (4, 4), (0, 4), (1, 4), (2, 2), (1, 5), (3, 3), (2, 4), (3, 5), (4, 5), (2, 5), (3, 3), (3, 4), (1, 4), (3, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in', 'maternal_grandmother_of', 'is_female', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'living_in', 'is_female', 'son_in_law_of', 'living_in', 'living_in', 'living_in', 'no_sisters', 'living_in_same_place', 'paternal_grandmother_of', 'no_sons']","(0, 3)",['living_in_same_place'],1
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 5), (3, 0), (4, 4), (0, 4), (1, 4), (2, 2), (1, 5), (3, 3), (2, 4), (3, 5), (4, 5), (2, 5), (3, 3), (3, 4), (1, 4), (3, 3)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in', 'maternal_grandmother_of', 'is_female', 'living_in_same_place', 'living_in_same_place', 'is_underage', 'living_in', 'is_female', 'son_in_law_of', 'living_in', 'living_in', 'living_in', 'no_sisters', 'living_in_same_place', 'paternal_grandmother_of', 'no_sons']","(4, 1)",['living_in_same_place'],1
